Parameter Name,Raster
Version,V1.3
MultirasterSeparator,&
ActMod_trqClth,Polling_100ms
AFS_dm,100ms time synchronous
APP_r,Polling_100ms
BattU_u,Polling_100ms
BattU_uRaw,Polling_100ms
Brk_st,segment synchronous
Clth_st,segment synchronous
CoEOM_numOpModeAct,100ms time synchronous
Com_facCorrnNo2NoxSnsr2,Polling_100ms
Com_flgHeatrSpNoxSnsr1,Polling_100ms
Com_flgHeatrSpNoxSnsr2,Polling_100ms
Com_flgNoxVldNoxSnsr2,Polling_100ms
Com_ratNoxNoxSnsr1,100ms time synchronous
Com_ratNoxNoxSnsr2,Polling_100ms
Com_rNOxCat2Ds,100ms time synchronous
Com_rNOxDs,Polling_100ms
Com_stHtrSetPCat2Ds,Polling_500ms
Com_stHtrSetPCat3Ds,Polling_500ms
Com_stHtrSetPDs,Polling_1s
ComDM1_stDTCinfo_[0],Polling_100ms
ComDM1_stDTCinfo_[1],Polling_100ms
ComDM1_stDTCinfo_[10],Polling_100ms
ComDM1_stDTCinfo_[11],Polling_100ms
ComDM1_stDTCinfo_[12],Polling_100ms
ComDM1_stDTCinfo_[13],Polling_100ms
ComDM1_stDTCinfo_[14],Polling_100ms
ComDM1_stDTCinfo_[15],Polling_100ms
ComDM1_stDTCinfo_[2],Polling_100ms
ComDM1_stDTCinfo_[3],Polling_100ms
ComDM1_stDTCinfo_[4],Polling_100ms
ComDM1_stDTCinfo_[5],Polling_100ms
ComDM1_stDTCinfo_[6],Polling_100ms
ComDM1_stDTCinfo_[7],Polling_100ms
ComDM1_stDTCinfo_[8],Polling_100ms
ComDM1_stDTCinfo_[9],Polling_100ms
ComEMS_DTCA_HB,Polling_100ms
ComEMS_DTCA_LB,Polling_100ms
ComEMS_DTCA_MB,Polling_100ms
ComEMS_DTCB_HB,Polling_100ms
ComEMS_DTCB_LB,Polling_100ms
ComEMS_DTCB_MB,Polling_100ms
DFC_st.DFC_SCRChkNoxEff3,100ms time synchronous
DFES_numDFC_[0],100ms time synchronous
DFES_numDFC_[1],100ms time synchronous
DFES_numDFC_[2],100ms time synchronous
DFES_numDFC_[3],100ms time synchronous
DFES_numDFC_[4],100ms time synchronous
DFES_numDFC_[5],100ms time synchronous
DFES_numDFC_[6],100ms time synchronous
DFES_numDFC_[7],100ms time synchronous
DFES_numDFC_[8],100ms time synchronous
DFES_numDFC_[9],100ms time synchronous
DFES_stEntry_[0],100ms time synchronous
DFES_stEntry_[1],100ms time synchronous
DFES_stEntry_[2],100ms time synchronous
DFES_stEntry_[3],100ms time synchronous
DFES_stEntry_[4],100ms time synchronous
DFES_stEntry_[5],100ms time synchronous
DFES_stEntry_[6],100ms time synchronous
DFES_stEntry_[7],100ms time synchronous
DFES_stEntry_[8],100ms time synchronous
DFES_stEntry_[9],100ms time synchronous
DINH_stFId.FId_PFltLdO2Aprx,100ms time synchronous
DStgy_stStM,100ms time synchronous
EGSDCmn_flgO2SnsrPrsntS1B1,Polling_100ms
EGSSig_flgNoxRelsS1B1,Polling_100ms
EGSSig_flgNoxRelsScrDs,Polling_100ms
EGSSig_ratNoxOffsS4B1,Polling_100ms
EngDa_tFld_[2],100ms time synchronous
EngDa_tiEngOff,100ms time synchronous
Epm_nEng,100ms time synchronous
EpmCaS_phiAdapRefPos_[0],Polling_100ms
EpmCaS_phiAdapRefPos_[1],Polling_100ms
EpmCaS_phiAdapRefPos_[2],Polling_100ms
EpmCaS_phiAdapRefPos_[3],Polling_100ms
EpmCaS_phiAdapRefPos_[4],Polling_100ms
EpmCaS_phiAdapRefPos_[5],Polling_100ms
EpmCaS_phiAdapRefPos_[6],Polling_100ms
EpmCaS_phiAdapRefPos_[7],Polling_100ms
EpmCaS_phiAdapRefPos_[8],Polling_100ms
EpmCaS_phiAdapRefPos_[9],Polling_100ms
EpmCaS_phiRefPos_[0],Polling_100ms
EpmCaS_phiRefPos_[1],Polling_100ms
EpmCaS_phiRefPos_[2],Polling_100ms
EpmCaS_phiRefPos_[3],Polling_100ms
EpmCaS_phiRefPos_[4],Polling_100ms
EpmCaS_phiRefPos_[5],Polling_100ms
EpmCaS_phiRefPos_[6],Polling_100ms
EpmCaS_phiRefPos_[7],Polling_100ms
EpmCaS_phiRefPos_[8],Polling_100ms
EpmCaS_phiRefPos_[9],Polling_100ms
Exh_dmNOxNSCDs,100ms time synchronous
Exh_stDebHtrSetPNoCat2Ds,Polling_100ms
Exh_stDebHtrSetPNSCDs,Polling_100ms
Exh_stHtrRlsNoCat2Ds,Polling_100ms
Exh_stHtrRlsNSCDs,Polling_100ms
Exh_tAdapTOxiCatUs,100ms time synchronous
Exh_tFld_[0],Polling_100ms
Exh_tFld_[1],Polling_100ms
Exh_tFld_[10],Polling_100ms
Exh_tFld_[11],Polling_100ms
Exh_tFld_[12],Polling_100ms
Exh_tFld_[13],Polling_100ms
Exh_tFld_[14],Polling_100ms
Exh_tFld_[15],Polling_100ms
Exh_tFld_[16],Polling_100ms
Exh_tFld_[17],Polling_100ms
Exh_tFld_[18],Polling_100ms
Exh_tFld_[19],Polling_100ms
Exh_tFld_[2],Polling_100ms
Exh_tFld_[3],Polling_100ms
Exh_tFld_[4],Polling_100ms
Exh_tFld_[5],Polling_100ms
Exh_tFld_[6],100ms time synchronous
Exh_tFld_[7],Polling_100ms
Exh_tFld_[8],Polling_100ms
Exh_tFld_[9],Polling_100ms
Exh_tOxiCatUs,10ms time synchronous
Exh_tPFltUs,10ms time synchronous
ExhMod_mfNoxEngOutp,100ms time synchronous
ExhMod_nEng_MP,100ms time synchronous
ExhMod_qInjCmbErrWghR32_MP,100ms time synchronous
ExhMod_ratNOXEGSys,100ms time synchronous
ExhMod_ratNOXEngOut,100ms time synchronous
Frm_stProbeTempNOx1,Polling_100ms
Frm_stProbeTempNOx2,Polling_1s
GlbDa_lDst,100ms time synchronous
GlbDa_lTotDst,100ms time synchronous
Hegn_ratNoxS4B1,Polling_100ms
Hegn_stHeatrReqNoxSnsr1,Polling_100ms
Hegn_stHeatrReqNoxSnsr2,Polling_100ms
Hegn_stHeatrReqSelfDiagS1B1,Polling_100ms
Hegn_stHeatrReqSelfDiagS4B1,Polling_100ms
Hegn_stRlsHtrCtrlS1B1,Polling_100ms
Hegn_stRlsHtrCtrlS4B1,Polling_100ms
Hegn_stSetPDebHtrCtrlS1B1,Polling_100ms
Hegn_stSetPDebHtrCtrlS4B1,Polling_100ms
Hegn_stSnsrEnadB1,Polling_100ms
